open,high,low,close,volume,spread,real_volume
6807.671,6815.06,6789.535,6791.55,81032,1,300795
6790.879,6796.252,6769.384,6792.894,88383,1,326752
6792.222,6799.611,6781.475,6798.939,51806,1,192358
6798.267,6833.196,6790.879,6827.15,78850,1,304852
6827.15,6828.494,6801.626,6819.09,58463,1,206415
6819.09,6825.807,6802.297,6802.969,37625,1,133847
6802.297,6811.701,6794.237,6794.237,10178,1,43603
6850.66,6868.796,6814.388,6845.958,204119,1,626123
6846.63,6873.498,6834.539,6840.584,129381,1,452090
6840.584,6861.407,6829.837,6843.271,105078,1,359067
6843.943,6851.331,6813.045,6841.256,97573,1,364847
6841.256,6860.735,6824.464,6825.807,62463,1,229920
6825.807,6849.988,6823.792,6844.615,49697,1,171320
6843.943,6854.018,6829.165,6831.181,49769,1,173098
6831.852,6841.256,6815.06,6826.479,46260,1,167067
6826.479,6845.286,6822.448,6829.165,39224,1,143284
6829.165,6860.064,6827.15,6854.018,11487,1,50489
6989.702,7018.585,6954.773,6954.773,209227,1,668516
6954.773,6989.03,6944.026,6950.071,153296,1,496997
6949.4,6951.415,6913.128,6921.188,133342,1,433297
6921.188,6927.905,6906.411,6919.845,97369,1,340139
6919.173,6922.532,6886.26,6891.633,88401,1,315206
6890.962,6903.724,6878.199,6894.992,74958,1,254389
6894.992,6908.426,6868.796,6872.826,88319,1,320914
6873.498,6891.633,6866.781,6881.558,61379,1,231706
6881.558,6903.052,6878.871,6886.932,48696,1,180005
6886.932,6890.962,6872.154,6876.184,10791,1,43052
6899.694,6923.203,6891.633,6917.158,146055,1,405586
6917.158,6917.83,6863.422,6890.962,158434,1,486816
6891.633,6947.384,6884.916,6933.95,150147,1,523484
6934.622,6937.309,6891.633,6907.754,99582,1,348142
6907.754,6943.354,6896.335,6930.592,91626,1,324489
6931.264,6932.607,6915.143,6925.89,50056,1,178086
6925.218,6937.981,6919.173,6934.622,46267,1,171816
6933.95,6942.011,6925.218,6934.622,38862,1,142983
6934.622,6946.713,6930.592,6934.622,36547,1,133368
6934.622,6935.966,6923.203,6931.264,11294,1,51403
6913.128,6923.875,6890.29,6921.86,118553,1,335564
6921.188,6948.728,6916.486,6943.354,140877,1,427816
6942.683,6952.086,6923.875,6940.667,125955,1,424027
6941.339,6993.732,6932.607,6984.328,115790,1,448260
6984.328,7004.479,6973.581,6997.09,76921,1,303412
6997.762,7011.196,6988.358,7003.136,66064,1,241860
7003.136,7005.822,6974.924,6990.373,72014,1,257551
6990.373,6993.06,6978.954,6983.656,39194,1,147843
6983.656,6995.075,6979.626,6991.717,32110,1,128248
6992.388,7012.539,6990.373,7012.539,12976,1,59575
6958.803,6970.894,6936.637,6962.834,139423,1,395360
6962.834,6995.075,6957.46,6991.717,122007,1,389300
6991.045,7064.932,6989.702,7064.26,152509,1,527348
7063.588,7117.324,7057.543,7116.653,116465,1,479735
7117.324,7129.415,7103.89,7128.072,111872,1,467404
7127.4,7134.789,7050.154,7077.022,147631,1,615215
7077.022,7090.456,7054.856,7061.573,76663,1,305187
7061.573,7066.275,7030.675,7037.392,75310,1,274627
7036.72,7058.887,7034.034,7047.468,43803,1,154864
7047.468,7048.811,7034.705,7036.72,11559,1,45547
7021.943,7047.468,6988.358,6989.702,194712,1,559273
6990.373,7001.792,6952.086,6963.505,149541,1,510530
6963.505,7005.822,6948.056,6990.373,133252,1,468516
6990.373,7005.822,6965.52,6970.894,122429,1,439331
6970.894,6970.894,6938.652,6941.339,77383,1,288735
6942.011,6969.551,6935.966,6962.162,73411,1,238834
6962.162,6981.641,6958.803,6973.581,61868,1,231396
6974.252,6977.611,6950.071,6958.803,44401,1,148357
6958.803,7005.822,6957.46,6989.03,52567,1,186332
6989.03,7005.822,6975.596,7004.479,10239,1,33598
6970.226,6993.733,6928.584,6975.599,146768,1,371401
6974.927,7018.583,6947.39,7012.538,112128,1,364074
7012.538,7035.374,6995.076,6997.763,80323,1,307452
6998.434,7002.464,6952.091,6957.464,84409,1,330581
6957.464,6961.494,6922.539,6956.793,65333,1,256049
6956.793,6970.897,6932.614,6944.703,60278,1,186278
6944.032,6969.554,6938.659,6958.808,45473,1,152016
6958.136,6998.434,6952.091,6974.255,62422,1,223641
6974.255,6989.703,6968.882,6976.942,32247,1,104280
6976.27,6998.434,6966.867,6988.36,9765,1,36322
6892.316,6913.137,6880.226,6901.047,140296,1,415506
6901.047,6943.36,6895.674,6932.614,152418,1,467673
6933.286,6944.703,6896.346,6898.361,165343,1,516559
6897.689,7013.21,6895.002,7010.524,157044,1,542416
7009.852,7061.568,6995.076,7055.523,138264,1,466302
7055.523,7088.433,7045.449,7068.284,139610,1,479151
7068.284,7069.627,7029.329,7051.493,100330,1,334535
7051.493,7101.194,7048.807,7083.732,98870,1,320359
7083.732,7105.224,7077.687,7087.09,60604,1,206788
7087.09,7122.687,7086.418,7122.687,16761,1,67605
7106.567,7189.85,7090.448,7176.417,265344,1,786630
7175.746,7197.91,7156.94,7193.88,194663,1,599836
7193.88,7196.566,7102.538,7117.314,199598,1,604243
7117.314,7168.358,7105.896,7143.507,146824,1,475864
7142.836,7163.656,7118.657,7131.418,104732,1,343434
7132.089,7132.089,7095.15,7097.836,100710,1,311330
7097.836,7109.254,7061.568,7076.344,114853,1,382707
