open,high,low,close,volume,spread,real_volume,ema_9,sma_20,sma_200,rsi,sma_20_bb,std_20_bb,upper_band,lower_band,band_width,dist_sma_20,dist_sma_200,true_range,atr,atr_norm
7140.191,7143.547,7116.028,7134.151,76775,1,257210,0.001855418846639978,0.0017592703042030866,0.03718430829538755,57.3720703684603,7146.7019,30.813638033046953,7208.329176066094,7085.074623933906,0.017246354172431356,-0.0017592703042030066,0.0,27.518999999999323,36.67614285714295,0.005140926069148655
7134.151,7146.232,7126.767,7128.781,49406,1,163959,0.0020880807779255495,0.0023444050252068305,0.03718430829538755,50.69936080766417,7145.49375,31.028957446189324,7207.5516648923785,7083.435835107621,0.017369804540764984,-0.0023444050252069307,0.0,19.465000000000146,34.42285714285721,0.004828715756993686
7129.452,7132.137,7116.699,7125.425,11569,1,43683,0.002048042953355367,0.0025574544676283395,0.03718430829538755,48.951089023291175,7143.6479500000005,31.07199885575703,7205.791947711515,7081.503952288486,0.017398393130925272,-0.00255745446762829,0.0,15.438000000000102,33.895500000000084,0.004756979408245835
7101.262,7165.697,7099.919,7161.67,195351,1,583222,-0.0024186340380484284,-0.0022727799521621295,0.03718430829538755,54.51722649487363,7145.393099999999,31.05413777650515,7207.50137555301,7083.284824446989,0.01738414519223878,0.0022727799521621004,0.0,65.77800000000025,36.8200000000001,0.005141258952171784
7160.998,7182.477,7149.588,7179.121,143578,1,416281,-0.003874843043461196,-0.004291361017595419,0.03718430829538755,53.35462650476247,7148.3128,31.356600728094058,7211.026001456188,7085.599598543811,0.017546294688220266,0.004291361017595385,0.0,32.889000000000124,35.62150000000007,0.004961819141925602
7179.121,7198.585,7166.368,7195.901,121514,1,374544,-0.004958152377584568,-0.005895015787460212,0.03718430829538755,48.410091182850046,7153.481049999999,30.17567944985793,7213.832408899715,7093.129691100284,0.01687328406348842,0.00589501578746017,0.0,32.21699999999964,34.75850000000004,0.004830319372098093
7195.901,7218.05,7195.229,7214.694,97172,1,319098,-0.0060400481186881905,-0.007712316003977704,0.03718430829538755,53.05474247991545,7159.051999999999,30.699330601309043,7220.450661202617,7097.6533387973805,0.01715273508353294,0.007712316003977666,0.0,22.820999999999913,35.14207142857146,0.004870902553673303
7214.694,7239.528,7197.243,7207.311,102234,1,367748,-0.004017487123462282,-0.006132418873002643,0.03718430829538755,50.0,7163.11275,31.47226717516198,7226.057284350324,7100.168215649676,0.017574631741018993,0.006132418873002631,0.0,42.284999999999854,34.03935714285717,0.004722892788011669
7207.311,7232.816,7191.873,7220.735,87588,1,312142,-0.004695287018541716,-0.007348019280585594,0.03718430829538755,64.13044065015193,7167.6769,32.919532453193774,7233.515964906388,7101.837835093613,0.018371102890083577,0.007348019280585603,0.0,40.94300000000021,32.88871428571435,0.004554759908196929
7221.406,7232.145,7207.982,7228.789,67021,1,231073,-0.00464336953919442,-0.007855105467872825,0.03718430829538755,75.60027890844259,7172.0061000000005,35.01973003728385,7242.045560074568,7101.966639925433,0.019531344256544236,0.007855105467872868,0.0,24.163000000000466,31.546357142857232,0.004363989202459393
