<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<TICKVOL>;<VOL>;<SPREAD>
2023.01.25;17:05:00;5981.985;5983.749;5979.632;5980.220;2625;11561;1
2023.01.25;17:10:00;5980.220;5985.514;5979.043;5985.514;3779;18624;1
2023.01.25;17:15:00;5984.926;5987.279;5984.338;5985.514;2956;10821;1
2023.01.25;17:20:00;5984.926;5987.867;5984.926;5985.514;2139;9652;1
2023.01.25;17:25:00;5984.926;5986.691;5984.926;5985.514;1200;5675;1
2023.01.25;17:30:00;5986.102;5989.044;5985.514;5988.455;2177;7707;1
2023.01.25;17:35:00;5988.455;5989.044;5986.102;5987.867;1720;5976;1
2023.01.25;17:40:00;5987.867;5988.455;5986.102;5986.691;1292;6316;1
2023.01.25;17:45:00;5987.279;5988.455;5986.102;5988.455;1465;7630;1
2023.01.25;17:50:00;5987.867;5988.455;5981.985;5983.161;3715;14446;1
2023.01.25;17:55:00;5983.161;5983.161;5977.867;5980.220;3517;14330;1
2023.01.25;18:00:00;5980.220;5981.396;5978.455;5980.220;1173;3828;1
2023.01.25;18:05:00;5979.632;5980.808;5976.690;5979.043;2453;8752;1
2023.01.25;18:10:00;5978.455;5980.808;5978.455;5980.808;1389;4275;1
2023.01.25;18:15:00;5980.808;5980.808;5974.337;5976.102;2942;12160;1
2023.01.25;18:20:00;5975.514;5979.043;5973.749;5979.043;1339;6216;1
2023.01.25;18:25:00;5979.632;5980.808;5976.690;5977.867;1193;7246;1
2023.01.26;09:00:00;5975.514;5991.985;5974.337;5987.867;18206;44512;1
2023.01.26;09:05:00;5988.455;5989.044;5973.161;5974.337;16924;49577;1
2023.01.26;09:10:00;5974.926;5981.985;5968.455;5980.808;23279;66562;1
2023.01.26;09:15:00;5980.220;5987.279;5977.867;5983.749;14824;46842;1
2023.01.26;09:20:00;5984.338;6000.221;5982.573;5998.456;19578;59666;1
2023.01.26;09:25:00;5997.868;6001.985;5991.397;6000.809;16916;48504;1
2023.01.26;09:30:00;6000.221;6011.397;5999.632;6005.515;20907;67617;1
2023.01.26;09:35:00;6005.515;6006.691;6000.221;6000.221;11068;36075;1
2023.01.26;09:40:00;6000.221;6003.162;5991.397;5993.161;16359;52712;1
2023.01.26;09:45:00;5993.750;5998.456;5988.455;5997.868;16718;49143;1
2023.01.26;09:50:00;5997.868;6006.691;5997.279;6004.927;15639;44721;1
2023.01.26;09:55:00;6004.927;6015.515;6001.397;6010.809;16910;55521;1
2023.01.26;10:00:00;6010.809;6015.515;6005.515;6012.574;15373;50229;1
2023.01.26;10:05:00;6013.162;6015.515;5999.044;5999.632;17250;56942;1
2023.01.26;10:10:00;5999.632;6008.456;5994.338;6007.280;18786;58948;1
2023.01.26;10:15:00;6006.691;6012.574;6004.927;6009.633;9866;31075;1
2023.01.26;10:20:00;6009.633;6010.809;6005.515;6009.044;6543;22990;1
2023.01.26;10:25:00;6009.633;6010.221;6004.338;6006.103;4239;14260;1
2023.01.26;10:30:00;6006.103;6020.221;6002.574;6006.103;24806;79495;1
2023.01.26;10:35:00;6006.103;6008.456;5997.868;6000.809;14838;44607;1
2023.01.26;10:40:00;5999.632;6003.162;5989.632;5999.044;25114;79727;1
2023.01.26;10:45:00;5999.044;6010.809;5999.044;6010.809;13132;43443;1
2023.01.26;10:50:00;6010.809;6027.280;6009.633;6021.986;23599;80754;1
2023.01.26;10:55:00;6021.398;6026.104;6014.927;6015.515;13196;46276;1
2023.01.26;11:00:00;6015.515;6017.280;6010.221;6015.515;11567;43110;1
2023.01.26;11:05:00;6015.515;6016.103;5994.338;6000.221;23281;88587;1
2023.01.26;11:10:00;6000.221;6003.750;5991.985;5994.338;12336;41699;1
2023.01.26;11:15:00;5993.750;5994.338;5975.514;5987.867;25885;92562;1
2023.01.26;11:20:00;5987.867;5992.573;5986.102;5989.632;9058;33671;1
2023.01.26;11:25:00;5990.220;5995.514;5984.338;5990.808;10855;36197;1
2023.01.26;11:30:00;5990.220;6000.221;5989.632;5999.044;12012;43678;1
2023.01.26;11:35:00;5999.632;6003.750;5996.103;6000.809;9704;35587;1
2023.01.26;11:40:00;6000.221;6007.280;5997.868;6006.103;10939;40485;1
2023.01.26;11:45:00;6006.103;6009.633;6000.221;6009.044;9286;30641;1
2023.01.26;11:50:00;6009.044;6011.397;6004.338;6010.809;9543;34768;1
2023.01.26;11:55:00;6010.809;6011.986;5996.103;5999.632;14242;46294;1
2023.01.26;12:00:00;5999.044;6004.927;5991.985;5993.161;14436;55714;1
2023.01.26;12:05:00;5992.573;6000.809;5992.573;5997.868;9263;37454;1
2023.01.26;12:10:00;5997.868;6000.809;5990.808;5994.338;7914;28948;1
2023.01.26;12:15:00;5994.338;5997.868;5988.455;5989.632;7872;32850;1
2023.01.26;12:20:00;5989.632;5990.220;5957.866;5960.219;26963;100291;1
2023.01.26;12:25:00;5960.219;5974.926;5959.631;5970.219;16891;65453;1
2023.01.26;12:30:00;5970.219;5979.043;5970.219;5978.455;9410;36499;1
2023.01.26;12:35:00;5978.455;5986.102;5977.279;5980.808;9793;34292;1
2023.01.26;12:40:00;5980.808;5988.455;5976.102;5984.926;10363;41695;1
2023.01.26;12:45:00;5984.926;5991.397;5983.749;5988.455;7560;31745;1
2023.01.26;12:50:00;5989.044;5993.161;5984.338;5991.985;6476;24133;1
2023.01.26;12:55:00;5992.573;5995.514;5982.573;5985.514;12618;56596;1
2023.01.26;13:00:00;5986.102;5991.397;5970.808;5973.161;13308;55678;1
2023.01.26;13:05:00;5973.161;5981.985;5968.455;5979.632;12308;45690;1
2023.01.26;13:10:00;5979.632;5988.455;5977.279;5985.514;7989;31284;1
2023.01.26;13:15:00;5985.514;5987.279;5977.867;5983.161;6653;25331;1
2023.01.26;13:20:00;5983.161;5984.338;5980.220;5982.573;4793;18273;1
2023.01.26;13:25:00;5982.573;5984.926;5973.749;5975.514;6945;23872;1
2023.01.26;13:30:00;5976.102;5982.573;5971.984;5981.985;6836;24665;1
2023.01.26;13:35:00;5981.985;5987.867;5980.220;5987.867;4613;16443;1
2023.01.26;13:40:00;5987.867;5991.397;5985.514;5986.691;6177;22106;1
2023.01.26;13:45:00;5986.691;5988.455;5984.338;5987.279;3585;10893;1
2023.01.26;13:50:00;5987.279;5992.573;5986.102;5988.455;5045;20109;1
2023.01.26;13:55:00;5989.044;5993.161;5987.279;5991.397;3781;17713;1
2023.01.26;14:00:00;5990.808;5993.161;5987.279;5987.867;3935;21592;1
2023.01.26;14:05:00;5987.867;5990.808;5986.102;5989.632;2987;11112;1
2023.01.26;14:10:00;5989.044;5990.220;5984.338;5988.455;4706;20021;1
